date,calories,smoothed_weight_lbs,fm_lbs_weak,ffm_lbs_weak,weight_pred_lbs,fat_pct_weak,tdee_weak
2014-01-28,2355,,53.1,156.26,209.36,25.36,2109.2
2014-01-29,2826,,53.15,156.27,209.41,25.38,2109.5
2014-01-30,1613,,53.33,156.28,209.6,25.44,2109.7
2014-01-31,1528,,53.16,156.28,209.45,25.38,2109.9
2014-02-01,1722,,52.98,156.29,209.27,25.31,2110.2
2014-02-02,2115,,52.84,156.3,209.14,25.27,2110.5
2014-02-03,1380,,52.82,156.31,209.13,25.26,2110.7
2014-02-04,2329,,52.59,156.32,208.91,25.17,2111.0
2014-02-05,1705,,52.63,156.33,208.96,25.19,2111.3
2014-02-06,1940,,52.49,156.34,208.83,25.13,2111.5
2014-02-07,2547,,52.41,156.35,208.76,25.11,2111.8
2014-02-08,2091,,52.52,156.36,208.87,25.14,2112.1
2014-02-09,2326,,52.49,156.37,208.85,25.13,2112.4
2014-02-10,2055,,52.52,156.38,208.9,25.14,2112.6
2014-02-11,2512,,52.48,156.39,208.87,25.13,2112.9
2014-02-12,1748,,52.57,156.4,208.97,25.16,2113.1
2014-02-13,2776,,52.44,156.41,208.85,25.11,2113.4
2014-02-14,2705,,52.61,156.42,209.02,25.17,2113.7
2014-02-15,2527,,52.75,156.42,209.18,25.22,2113.9
2014-02-16,2890,,52.85,156.43,209.28,25.25,2114.2
2014-02-17,2729,,53.05,156.44,209.49,25.32,2114.4
2014-02-18,2421,,53.2,156.45,209.65,25.37,2114.7
2014-02-19,1632,,53.26,156.46,209.72,25.4,2114.9
2014-02-20,1835,,53.1,156.47,209.56,25.34,2115.2
2014-02-21,2264,,52.99,156.47,209.47,25.3,2115.4
2014-02-22,3266,,53.01,156.48,209.49,25.3,2115.7
2014-02-23,2696,,53.31,156.49,209.8,25.41,2115.9
2014-02-24,1426,,53.46,156.5,209.95,25.46,2116.1
2014-02-25,2049,,53.23,156.5,209.74,25.38,2116.4
2014-02-26,1849,,53.19,156.51,209.7,25.36,2116.6
2014-02-27,2361,,53.09,156.52,209.61,25.33,2116.8
2014-02-28,2725,,53.13,156.53,209.66,25.34,2117.0
2014-03-01,2908,,53.28,156.53,209.81,25.39,2117.3
2014-03-02,2459,,53.48,156.54,210.02,25.46,2117.5
2014-03-03,1605,,53.55,156.55,210.1,25.49,2117.7
2014-03-04,2929,,53.38,156.56,209.94,25.43,2118.0
2014-03-05,1535,,53.59,156.56,210.15,25.5,2118.1
2014-03-06,3073,,53.4,156.57,209.96,25.43,2118.4
2014-03-07,2033,,53.64,156.58,210.22,25.52,2118.6
2014-03-08,2173,,53.59,156.58,210.18,25.5,2118.8
2014-03-09,1825,,53.58,156.59,210.17,25.49,2119.0
2014-03-10,2230,,53.47,156.6,210.07,25.46,2119.2
